nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
92-N26C,1992,4,2031.56809,2011.81173,1992-07-03,1992-07-13,4,4,1992-07-22,2,NA,185,195,178,PG 1,2,ASY,2,ASY,96,8.971962616822431,2031.58211,U,8.7,7,FALSE,1992-07-22,0,2,204
121-M31E,2021,4,2031.60681,2781.39245,2021-06-23,2021-07-03,4,2,2021-07-12,R1,NA,174,184,167,PG 2,4,ASY,2,ASY,77,7.196261682242991,2781.39426,NA,8.7,7,FALSE,2021-07-12,0,1,193
118-M33B,2018,4,2031.60695,2621.66822,2018-06-10,2018-06-18,4,4,2018-06-27,1,NA,161,169,152,MO,1,SY,2,ASY,72,6.728971962616823,2631.94954,NA,8.7,7,FALSE,2018-06-27,0,1,178
95-O27B,1995,4,2121.64011,2151.80084,1995-07-01,1995-07-09,4,4,NA,RERR1,NA,182,190,173,PG 1,1,SY,1,SY,98,9.158878504672899,2121.64363,U,8.7,7,FALSE,1995-07-18,0,1,199
102-L28A,2002,5,2031.57558,930.59787,2002-06-13,2002-06-24,5,4,2002-07-03,1,NA,164,175,157,MO,2,ASY,2,ASY,110,10.280373831775702,1741.07263,U,8.8,7,FALSE,2002-07-03,0,1,184
95-N29D,1995,4,2031.58541,2031.58816,1995-07-11,1995-07-20,4,4,NA,R2,NA,192,201,184,MO,2,ASY,1,SY,98,9.158878504672899,2121.64419,U,8.8,7,FALSE,1995-07-29,0,2,210
98-O25C,1998,4,2121.64972,2121.64730,1998-06-18,1998-06-25,3,3,NA,R1,NA,169,176,159,MO,2,ASY,1,SY,82,7.663551401869159,2121.65394,U,8.8,7,FALSE,1998-07-04,0,1,185
113-M19D,2013,4,2511.98550,2401.76871,2013-07-09,2013-07-19,4,4,2013-07-29,2,NA,190,200,183,MO,2,ASY,2,ASY,103,9.626168224299066,2591.93583,U,8.8,7,FALSE,2013-07-29,0,2,210
113-M32E,2013,4,2511.98828,2511.98822,2013-06-25,2013-07-06,4,3,2013-07-18,R1,NA,176,187,170,MO,1,SY,1,SY,103,9.626168224299066,2591.93549,U,8.8,7,FALSE,2013-07-18,0,1,199
102-P24C,2002,4,930.59758,1560.05011,2002-06-18,2002-06-22,4,2,2002-07-01,R1,NA,169,173,156,MO,2,ASY,1,SY,110,10.280373831775702,1741.07245,U,8.8,7,FALSE,2002-07-01,0,1,182
